,user,tweet,source
129,sandraaycock606,RT @ny_ocho: Nike Dept. https://t.co/TRlFjBCJK4,Twitter for Android
130,sandraaycock606,@twobigboysblog Cam u please send me the recipe??,Twitter for Android
131,sandraaycock606,RT @twobigboysblog: SUNDAY  BRUNCH CORNED BEEF HASH EGGS BENEDICT PERFECT POACHED EGGS GREAT HOLLANDAISE  POTATOES WITH ONIONS PEPPERS AND…,Twitter for Android
132,sandraaycock606,RT @Chefmarkcoakley: Smoked Pork Egg Benedict with Jalapeno Hollandaise #brunch #breakfast #foodie #delicious #eggs https://t.co/k5xR41aQxx,Twitter for Android
133,sandraaycock606,RT @DiningNearMe: Is this too much bacon for breakfast? https://t.co/6b83wWeWA3,Twitter for Android
134,sandraaycock606,RT @sandwichrecipez: Street food in Italy. https://t.co/jFqMxLdDFI,Twitter for Android
135,sandraaycock606,Black and white lion head tattoo design --&gt; https://t.co/KG36eWPNaP,Twitter for Android
136,sandraaycock606,So What if I Pray Like a Girl ~ Putting Together Your Prayer Journal https://t.co/MxhbvT4avk via @ladyofv2u,Twitter for Android
137,sandraaycock606,https://t.co/1rkwiJoRmM,Twitter for Android
138,sandraaycock606,"@SportsLine @Eagles @Buccaneers @BuffaloBills Not even an Eagles fan but just saying, my prediction for wk 10 picks… https://t.co/07tBsOyRzJ",Twitter for Android
139,sandraaycock606,10 fun facts you didn’t know about Dubai https://t.co/0sKu3EqXO1 via @GetYourGuide,Twitter for Android
140,sandraaycock606,"🤗😍🥰

https://t.co/yRTbIOk2cu",Twitter for Android
141,sandraaycock606,https://t.co/dFuvy9kNGg,Twitter for Android
142,c_jackson622,"@ReadWriteNEISD, enjoying this wonderful curriculum training and this fabulous district! I am super excited to be a… https://t.co/WSAli9Je5V",Twitter for iPhone
143,c_jackson622,Frog dissecting for student led conferences! @NISDPease #NISDMSScience https://t.co/j1ltT4xKoC,Twitter for iPhone
144,c_jackson622,Moby’s in the @peaselib ! https://t.co/BQGmIOv0aM,Twitter for iPhone
145,c_jackson622,Snow! #snowinginsanantonio https://t.co/s5rEAiuBrW,Instagram
146,c_jackson622,Kaboot review for Energy  &amp; Resources engages my scientists! @NISDPease @NISDSecScience #Peaseinspired… https://t.co/mHquTvpbho,Twitter for iPhone
147,c_jackson622,Convection Lab! @NISDSecScience #Peaseinspired #NISDMSScience #peasescientists https://t.co/TybvIzPcvz,Twitter for iPhone
148,c_jackson622,Twining for Red Ribbon Week at Pease MS! TandeBabb @NISDPease #Peaseinspired #redribbonweek2017 https://t.co/xJZJnPKQfU,Twitter for iPhone
149,c_jackson622,RT @LyndaDeSutter: SLC committe did a great job organizing our Student Led Conferences! Exothermic reactions in our Spooky Lab! @NISDPease…,Twitter for iPhone
150,c_jackson622,Challenger Center field trip! #Peaseinspired #NISDMSScience #NISDinspired @NISDSecScience https://t.co/Skqmo9GCGe,Twitter for iPhone
151,c_jackson622,Focus on Middle School Science training #Peaseinspired #NISDinspired https://t.co/4xb0B8gmCR,Twitter for iPhone
152,c_jackson622,RT @NISDBeard: 3rd Grade Town Meeting. Our students know how to rock out to math. Great way to celebrate learning! https://t.co/sT97oONiaL,Twitter for iPhone
153,c_jackson622,Eremopedes (a Katydid) hanging out on my bedroom window screen. https://t.co/iLu2HMKCh8,Instagram
154,c_jackson622,iPad use in the classroom! The Periodic Table of Elements! https://t.co/cRDIaUWTyq,Twitter for iPhone
155,c_jackson622,Volume Displacement Lab @NISDSecScience @NISDPease #NISDinspired #Peaseinspired https://t.co/pC9SKbxFhE,Twitter for iPhone
156,c_jackson622,Element Categories @NISDPease @NISDSecScience #NISDinspired #Peaseinspired https://t.co/3DoaSgjYXG,Twitter for iPhone
157,c_jackson622,Density tower #NISDinspired @NISDPease #NISDMSScience https://t.co/pi1NBuobgm,Twitter for iPhone
158,c_jackson622,RT @NISDSecScience: Thank you @NISDJones @NISDPease @NISDPatNeff science teachers for attending the Earth Odyssey mission training! #nisdms…,Twitter for iPhone
159,c_jackson622,RT @TandeBabb: Challenger center earth odyssey training @NISDSecScience  @carolinegwatson @NISDPease  #peaseinspired #nisdmsscience @SAC_Sc…,Twitter for iPhone
160,c_jackson622,Density lab with sodas!#NISDInspired @NISDSecScience @NISDPease https://t.co/49zsWnpged,Twitter for iPhone
161,c_jackson622,Mass and Volume Lab Stations #Peaseinspired #NISDInspired @NISDSecScience @NISDPease https://t.co/3H2TxJu9Kh,Twitter for iPhone
162,TheCrazyKat,"Mmm a #blackfriday deal for less stress during holiday season?

50% off a yearly subscription? 

Fuck Yes, Thank Yo… https://t.co/tN9oQq8WOd",Twitter for Android
163,TheCrazyKat,Oooooof big one. Thank you 🙏🏼😌 https://t.co/zk4pIxT2dD,Twitter for Android
164,TheCrazyKat,"RT @MindTendencies2: You become unstoppable when you keep healing, loving and re-parenting your inner wounded child, and unlearning your ow…",Twitter for Android
165,TheCrazyKat,This is indeed what I have learned as I got older. https://t.co/8pYi9wFIVm,Twitter for Android
166,TheCrazyKat,"""You can't hate yourself healthy.""

https://t.co/LHxjkBhH9l",Twitter for Android
167,TheCrazyKat,"RT @MindTendencies2: In this vibrational universe, you don't outgrow others, you outgrow the old you. The old you used to resonate with the…",Twitter for Android
168,TheCrazyKat,Levels https://t.co/T9973uzoRh,Twitter for Android
169,TheCrazyKat,"RT @todayyearsoldig: Fun fact: seals can sleep underwater up to 30 minutes. No worries, no responsibilities, just pure bliss at the bottom…",Twitter for Android
170,TheCrazyKat,"RT @MindTendencies2: Trust the pattern you see when someone repeatedly shows you what they are capable of. See them as they are, not who th…",Twitter for Android
171,TheCrazyKat,"RT @tobi_emonts: Getting up late and rushing is hard. 
Getting up early is hard. 

Failing to lead yourself is hard. 
Forging your best sel…",Twitter for Android
172,TheCrazyKat,"Asking those ""what if?”, “why not?”, and “how can I?” questions -- The building blocks of creativity. 🖌️🎨👩🏻‍🎨… https://t.co/rWypz86j8u",Instagram
173,TheCrazyKat,"RT @tobi_emonts: Everyone wants to perform at their peak.

But no one wants to:
• journal for 10 mins in the morning
• stop scrolling socia…",Twitter for Android
174,TheCrazyKat,RT @_tealswan: Look for the window that is open when you have no control over a door being closed.,Twitter for Android
